WMC,class_BC,chemin,class,classe_LOC,classe_CLOC,classe_DC
69,0.007684077424375061,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartColor.java,ChartColor extends Color ,149,79,0.5302013422818792
15,0.06111111111111111,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartElement.java,ChartElement ,48,44,0.9166666666666666
12,0.07624113475177305,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartElementVisitor.java,ChartElementVisitor ,47,43,0.9148936170212766
1027,4.566542913527277E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartFactory.java,ChartFactory ,1870,877,0.46898395721925135
37,0.01976169718105202,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartHints.java,ChartHints ,93,68,0.7311827956989247
94,0.006171133830708299,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartRenderingInfo.java,ChartRenderingInfo,231,134,0.5800865800865801
18,0.051198257080610016,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartTheme.java,ChartTheme ,51,47,0.9215686274509803
91,0.006184291898577613,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartTransferable.java,ChartTransferable,231,130,0.5627705627705628
217,0.0028893277741204007,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartUtils.java,ChartUtils ,630,395,0.626984126984127
13,0.06618962432915922,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\Drawable.java,Drawable ,43,37,0.8604651162790697
635,7.612246607471938E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\JFreeChart.java,JFreeChart,1504,727,0.4833776595744681
2,0.375,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\package-info.java,,4,3,0.75
515,8.232348286206978E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\StandardChartTheme.java,StandardChartTheme,1644,697,0.4239659367396594
81,0.008105748846489588,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,198,130,0.6565656565656566
53,0.01105700953540272,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation extends AbstractAnnotation,186,109,0.5860215053763441
21,0.04177109440267335,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\Annotation.java,Annotation ,57,50,0.8771929824561403
16,0.052083333333333336,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java,CategoryAnnotation extends Annotation ,60,50,0.8333333333333334
131,0.0037580739870816207,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation extends AbstractAnnotation ,390,192,0.49230769230769234
167,0.003031437125748503,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation extends CategoryTextAnnotation,480,243,0.50625
82,0.006097560975609756,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation extends TextAnnotation,246,123,0.5
0,Infinity,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\package-info.java,,4,3,0.75
99,0.0056938814900598335,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\TextAnnotation.java,TextAnnotation extends AbstractAnnotation,314,177,0.5636942675159236
16,0.0517578125,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYAnnotation.java,XYAnnotation extends Annotation ,64,53,0.828125
17,0.05238970588235294,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo ,64,57,0.890625
129,0.003762636565574142,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation extends AbstractXYAnnotation,342,166,0.4853801169590643
89,0.005903068925037732,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation extends AbstractXYAnnotation,335,176,0.5253731343283582
103,0.004602660913340525,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation extends AbstractXYAnnotation,270,128,0.4740740740740741
81,0.006263616557734205,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java,XYImageAnnotation extends AbstractXYAnnotation,272,138,0.5073529411764706
140,0.0032585239533880015,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java,XYLineAnnotation extends AbstractXYAnnotation,331,151,0.4561933534743202
173,0.0028316678757810488,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation extends XYTextAnnotation,494,242,0.4898785425101215
122,0.003830243603493182,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation extends AbstractXYAnnotation,321,150,0.4672897196261682
97,0.004548211036992116,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation extends AbstractXYAnnotation,272,120,0.4411764705882353
187,0.0027609359664651765,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java,XYTextAnnotation extends AbstractXYAnnotation,583,301,0.516295025728988
115,0.0035606152355577084,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation extends AbstractXYAnnotation,359,147,0.40947075208913647
15,0.058333333333333334,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\HorizontalAlignment.java,HorizontalAlignment ,48,42,0.875
12,0.07207207207207207,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\Layer.java,Layer ,37,32,0.8648648648648649
12,0.07269503546099292,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\LengthAdjustmentType.java,LengthAdjustmentType ,47,41,0.8723404255319149
0,Infinity,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\package-info.java,,4,3,0.75
22,0.0411663807890223,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\PublicCloneable.java,PublicCloneable extends Cloneable ,53,48,0.9056603773584906
28,0.013392857142857142,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\RectangleAlignment.java,RectangleAlignment ,128,48,0.375
