WCP,paquet_BC,chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC
1919,2.6840311598838384E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations,org.jfree.chart.annotations,5642,2906,0.5150655795817086
489,0.0012564874629637152,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api,org.jfree.chart.api,1359,835,0.6144223693892568
7508,6.318415589174969E-5,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis,org.jfree.chart.axis,17608,8353,0.4743866424352567
1646,3.163321573047963E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block,org.jfree.chart.block,4980,2593,0.5206827309236948
533,0.0011059543793818503,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\date,org.jfree.chart.date,1330,784,0.5894736842105263
271,0.0026003615740855393,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\encoders,org.jfree.chart.encoders,745,525,0.7046979865771812
730,8.359295802306634E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity,org.jfree.chart.entity,2581,1575,0.6102285935683843
350,0.0023490945674044263,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\event,org.jfree.chart.event,1136,934,0.8221830985915493
203,0.003415032185922814,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\imagemap,org.jfree.chart.imagemap,652,452,0.6932515337423313
861,5.285174949028085E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\internal,org.jfree.chart.internal,2147,977,0.4550535631113181
2365,2.547810053385077E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\labels,org.jfree.chart.labels,5475,3299,0.6025570776255708
1187,4.2775679716596063E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\legend,org.jfree.chart.legend,3356,1704,0.5077473182359953
831,6.065848499244089E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\plot\compass,org.jfree.chart.plot.compass,2333,1176,0.5040720102871838
1976,2.813341629131103E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\plot\dial,org.jfree.chart.plot.dial,5544,3082,0.5559163059163059
467,8.548383001413446E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\plot\flow,org.jfree.chart.plot.flow,759,303,0.39920948616600793
1814,2.675551414225486E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\plot\pie,org.jfree.chart.plot.pie,4333,2103,0.4853450265405031
15197,3.25921076992033E-5,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\plot,org.jfree.chart.plot,37997,18820,0.4953022607047925
4900,9.719022744232829E-5,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\renderer\category,org.jfree.chart.renderer.category,12580,5991,0.4762321144674086
7409,6.38764630681857E-5,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\renderer\xy,org.jfree.chart.renderer.xy,18269,8646,0.47326071487218785
14940,3.2538751867923036E-5,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\renderer,org.jfree.chart.renderer,36587,17786,0.48612895290677016
1430,3.1643305539827025E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\swing\editor,org.jfree.chart.swing.editor,3421,1548,0.45249926921952643
3658,1.283221328384197E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\swing,org.jfree.chart.swing,8383,3935,0.46940236192293927
408,0.001430582563603954,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\text\format,org.jfree.chart.text.format,968,565,0.5836776859504132
1370,3.88641734703635E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\text,org.jfree.chart.text,3206,1707,0.53243917654398
874,5.650992146624983E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\title,org.jfree.chart.title,2130,1052,0.49389671361502346
525,0.001164632840933419,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\urls,org.jfree.chart.urls,1557,952,0.6114322414900449
679,8.101904738471922E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\util,org.jfree.chart.util,1676,922,0.5501193317422435
58050,8.71370858272513E-6,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart,org.jfree.chart,145092,73392,0.5058307832271938
782,7.382407437918071E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\category,org.jfree.data.category,2018,1165,0.5773042616451932
464,0.0012480833006454375,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\flow,org.jfree.data.flow,967,560,0.5791106514994829
156,0.004328697133125177,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\function,org.jfree.data.function,542,366,0.6752767527675276
776,7.255813742068038E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\gantt,org.jfree.data.gantt,2268,1277,0.5630511463844797
2282,2.4359386660611498E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\general,org.jfree.data.general,5118,2845,0.5558812035951544
71,0.003786157807057398,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\io,org.jfree.data.io,186,50,0.26881720430107525
206,0.002688676715120957,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\json\impl,org.jfree.data.json.impl,724,401,0.5538674033149171
260,0.002055485498108449,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\json,org.jfree.data.json,915,489,0.5344262295081967
141,0.005708354955889985,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\resources,org.jfree.data.resources,369,297,0.8048780487804879
1786,3.042715950478385E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\statistics,org.jfree.data.statistics,5745,3122,0.5434290687554395
274,0.002222260209576232,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\time\ohlc,org.jfree.data.time.ohlc,854,520,0.6088992974238876
4361,1.2612930836626462E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\time,org.jfree.data.time,11019,6061,0.55004991378528
342,0.0017870162182556072,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\xml,org.jfree.data.xml,1147,701,0.6111595466434177
3895,1.6101247741077883E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data\xy,org.jfree.data.xy,11546,7241,0.6271435995149836
16857,3.4285432980165225E-5,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\data,org.jfree.data,46575,26918,0.5779495437466452
74907,6.986738376326086E-6,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree,,191667,100310,0.5233556115554582
74907,6.986738376326086E-6,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org,,191667,100310,0.5233556115554582
