WMC;class_BC;chemin;class;classe_LOC;classe_CLOC;classe_DC
3;0.0;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\IFT3913_Dev1.jar;;59;0;0.0
68;0.007797078562968812;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartColor.java;ChartColor extends Color ;149;79;0.5302013422818792
16;0.057291666666666664;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartElement.java;ChartElement ;48;44;0.9166666666666666
13;0.07037643207855973;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartElementVisitor.java;ChartElementVisitor ;47;43;0.9148936170212766
978;4.7953369858819156E-4;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartFactory.java;;1870;877;0.46898395721925135
36;0.020310633213859022;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartHints.java;;93;68;0.7311827956989247
82;0.007074226586421708;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartRenderingInfo.java;ChartRenderingInfo implements Cloneable, Serializable ;231;134;0.5800865800865801
19;0.04850361197110423;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartTheme.java;ChartTheme ;51;47;0.9215686274509803
85;0.0066208301502419156;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartTransferable.java;ChartTransferable implements Transferable ;231;130;0.5627705627705628
189;0.003317376333249349;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\ChartUtils.java;;630;395;0.626984126984127
14;0.061461794019933555;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\Drawable.java;Drawable ;43;37;0.8604651162790697
562;8.601025971075944E-4;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\JFreeChart.java;JFreeChart implements Drawable, TitleChangeListener,;1504;727;0.4833776595744681
3;0.25;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\package-info.java;;4;3;0.75
423;0.0010022835383916298;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\StandardChartTheme.java;StandardChartTheme implements ChartTheme, Cloneable,;1644;697;0.4239659367396594
71;0.009247403613600796;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java;;198;130;0.6565656565656566
46;0.012739597942964002;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java;;186;109;0.5860215053763441
22;0.03987240829346092;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\Annotation.java;Annotation ;57;50;0.8771929824561403
17;0.049019607843137254;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java;CategoryAnnotation extends Annotation ;60;50;0.8333333333333334
113;0.004356705241660994;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java;CategoryLineAnnotation extends AbstractAnnotation ;390;192;0.49230769230769234
145;0.0034913793103448273;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java;CategoryPointerAnnotation extends CategoryTextAnnotation;480;243;0.50625
72;0.006944444444444444;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java;CategoryTextAnnotation extends TextAnnotation;246;123;0.5
1;0.75;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\package-info.java;;4;3;0.75
83;0.0067914971989870305;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\TextAnnotation.java;TextAnnotation extends AbstractAnnotation implements Serializable ;314;177;0.5636942675159236
17;0.04871323529411765;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYAnnotation.java;XYAnnotation extends Annotation ;64;53;0.828125
18;0.049479166666666664;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java;XYAnnotationBoundsInfo ;64;57;0.890625
114;0.004257720324202318;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java;XYBoxAnnotation extends AbstractXYAnnotation;342;166;0.4853801169590643
74;0.007099636950383219;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java;XYDataImageAnnotation extends AbstractXYAnnotation;335;176;0.5253731343283582
93;0.0050975706889685385;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java;XYDrawableAnnotation extends AbstractXYAnnotation;270;128;0.4740740740740741
70;0.007247899159663865;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java;XYImageAnnotation extends AbstractXYAnnotation;272;138;0.5073529411764706
127;0.0035920736494040964;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java;XYLineAnnotation extends AbstractXYAnnotation;331;151;0.4561933534743202
151;0.0032442287583451753;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java;XYPointerAnnotation extends XYTextAnnotation;494;242;0.4898785425101215
110;0.004248088360237893;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java;XYPolygonAnnotation extends AbstractXYAnnotation;321;150;0.4672897196261682
89;0.00495703899537343;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java;XYShapeAnnotation extends AbstractXYAnnotation;272;120;0.4411764705882353
157;0.0032885033485922804;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java;XYTextAnnotation extends AbstractXYAnnotation;583;301;0.516295025728988
101;0.004054165862268678;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java;XYTitleAnnotation extends AbstractXYAnnotation;359;147;0.40947075208913647
16;0.0546875;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\HorizontalAlignment.java;;48;42;0.875
13;0.06652806652806653;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\Layer.java;;37;32;0.8648648648648649
13;0.06710310965630115;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\LengthAdjustmentType.java;;47;41;0.8723404255319149
1;0.75;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\package-info.java;;4;3;0.75
23;0.03937653814602133;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\PublicCloneable.java;PublicCloneable extends Cloneable ;53;48;0.9056603773584906
28;0.013392857142857142;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\RectangleAlignment.java;;128;48;0.375
44;0.008522727272727272;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\RectangleAnchor.java;;152;57;0.375
31;0.019596020500452213;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\RectangleEdge.java;;107;65;0.6074766355140186
197;0.0025012874273523137;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\RectangleInsets.java;RectangleInsets implements Serializable ;483;238;0.4927536231884058
15;0.05472636815920398;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\Rotation.java;;67;55;0.8208955223880597
15;0.05909090909090909;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\SortOrder.java;;44;39;0.8863636363636364
16;0.05539772727272727;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\TableOrder.java;;44;39;0.8863636363636364
14;0.0633116883116883;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\UnitType.java;;44;39;0.8863636363636364
16;0.0546875;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\VerticalAlignment.java;;48;42;0.875
24;0.036949685534591194;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\XYCoordinateType.java;;53;47;0.8867924528301887
804;6.056954809286899E-4;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\Axis.java;;1536;748;0.4869791666666667
41;0.014979834837718456;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\AxisCollection.java;AxisCollection ;127;78;0.6141732283464567
14;0.06231003039513678;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\AxisLabelLocation.java;;47;41;0.8723404255319149
25;0.027160493827160494;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\AxisLocation.java;;81;55;0.6790123456790124
101;0.004429390307451798;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\AxisSpace.java;AxisSpace implements Cloneable, PublicCloneable, Serializable ;342;153;0.4473684210526316
31;0.020092165898617512;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\AxisState.java;AxisState ;175;109;0.6228571428571429
13;0.0673076923076923;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryAnchor.java;;48;42;0.875
491;8.9732468381484E-4;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryAxis.java;CategoryAxis extends Axis implements Cloneable, Serializable ;1296;571;0.44058641975308643
73;0.007776514924926721;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java;CategoryLabelPosition implements Serializable ;229;130;0.5676855895196506
115;0.004015205511998099;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java;CategoryLabelPositions implements Serializable ;366;169;0.46174863387978143
13;0.06837606837606837;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java;;45;40;0.8888888888888888
38;0.015350877192982457;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryTick.java;CategoryTick extends Tick ;132;77;0.5833333333333334
30;0.021904761904761906;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CompassFormat.java;CompassFormat extends NumberFormat ;140;92;0.6571428571428571
372;0.001013194615447755;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java;CyclicNumberAxis extends NumberAxis ;1048;395;0.37690839694656486
629;5.788105823329494E-4;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\DateAxis.java;DateAxis extends ValueAxis implements Cloneable, Serializable ;1670;608;0.36407185628742517
28;0.023214285714285715;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\DateTick.java;DateTick extends ValueTick ;120;78;0.65
15;0.05911949685534591;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java;;53;47;0.8867924528301887
126;0.004431425567072255;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\DateTickUnit.java;DateTickUnit extends TickUnit implements Serializable ;317;177;0.5583596214511041
15;0.050450450450450456;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\DateTickUnitType.java;;74;56;0.7567567567567568
65;0.008294314381270903;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java;ExtendedCategoryAxis extends CategoryAxis ;230;124;0.5391304347826087
412;0.0011638234663563138;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\LogarithmicAxis.java;LogarithmicAxis extends NumberAxis ;951;456;0.4794952681388013
385;0.0010847183904178722;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\LogAxis.java;LogAxis extends ValueAxis ;965;403;0.41761658031088084
14;0.05753968253968254;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\LogTick.java;LogTick extends ValueTick ;72;58;0.8055555555555556
68;0.0066237238697131745;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\MarkerAxisBand.java;MarkerAxisBand implements Serializable ;242;109;0.45041322314049587
170;0.0027638190954773867;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\ModuloAxis.java;ModuloAxis extends NumberAxis ;398;187;0.46984924623115576
103;0.005571971295905445;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\MonthDateFormat.java;MonthDateFormat extends DateFormat ;230;132;0.5739130434782609
432;9.720413773148148E-4;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\NumberAxis.java;NumberAxis extends ValueAxis implements Cloneable, Serializable ;1024;430;0.419921875
18;0.042989417989417994;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\NumberTick.java;NumberTick extends ValueTick ;84;65;0.7738095238095238
43;0.014053873180525348;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\NumberTickUnit.java;NumberTickUnit extends TickUnit implements Serializable ;139;84;0.60431654676259
85;0.003133589884551951;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java;NumberTickUnitSource implements TickUnitSource, Serializable ;214;57;0.26635514018691586
